County,issued_timestamp,latitude,longitude,effective_timestamp,regions,Comments,Tweet link
brevard,2019-08-30T18:46:53-04:00,28.2100203,-80.7997185,2019-09-01T08:00:00-04:00,"barrier islands, low-lying and flood-prone areas",First announcement,twitter.com/KelsiThorud/status/1167569407683547141
brevard,2019-08-31T14:34:18-04:00,28.2100203,-80.7997185,2019-09-02T08:00:00-04:00,"barrier islands, low-lying and flood-prone areas",second announcement; evacution order postponed for 24 hours,twitter.com/BrevardEOC/status/1167868230905421824
clay,2019-09-01T21:00:00-04:00,29.9766524,-81.8470596,2019-09-03T15:00:00-04:00,"zones A and B and low lying areas, and vulnerable housing",,twitter.com/wjxt4/status/1168327683496955905
duval,2019-09-01T17:13:21-04:00,30.3540073,-81.6632109,2019-09-02T08:00:00-04:00,zones A and B and low lying areas,,twitter.com/TenikkaANjax/status/1168270643944656896
flagler,2019-09-01T22:40:13-04:00,29.4844412,-81.2917415,2019-09-02T08:00:00-04:00,"nursing homes, assisted living facilities, &amp; group homes within zones A, B, and F, and flood prone areas.",,twitter.com/FlaglerCtyGov/status/1168352900978024450
indian river,2019-09-01T11:25:21-04:00,27.7041555,-80.5894422,2019-09-02T08:00:00-04:00,Residents east of U.S. Highway 1,,twitter.com/TCPalm/status/1168183068185612289
martin,2019-08-30T20:40:11-04:00,27.0673711,-80.3994412,2019-09-01T10:00:00-04:00,barrier islands and Zones A and B,First announcement,twitter.com/TCPalm/status/1167597920385765377
martin,2019-08-31T18:24:40-04:00,27.0673711,-80.3994412,,,Evacuation order rescinded,twitter.com/MHolsman/status/1167926202843009029
martin,2019-09-01T10:45:15-04:00,27.0673711,-80.3994412,2019-09-01T13:00:00-04:00,Barrier islands and Zones A and B,Second announcement,twitter.com/CBS12/status/1168172976358998017
nassau,2019-09-01T16:58:54-04:00,30.6624329,-81.7707334,2019-09-02T08:00:00-04:00,"Zones A, C &amp; F",,twitter.com/THESKY973DOTCOM/status/1168267005323075584
osceola,2019-09-01T11:22:11-04:00,28.0443842,-81.1437541,2019-09-02T08:00:00-04:00,Good Samaritan Society Kissimmee campus,This is tricky! The County only issued the mandatory evacuation order for the Good Samaritan senior living because it is a low-lying retirement community that had $500 million in damage from flooding after Hurricane Irma two years prior to Dorian,twitter.com/BecharaReports/status/1168182268097175557
palm beach,2019-09-01T09:39:14-04:00,26.6279798,-80.4494174,2019-09-01T13:00:00-04:00,Zones A and B,,twitter.com/mannahhorse/status/1168156359667388416
putnam,2019-09-02T13:04:28-04:00,29.6266155,-81.7230549,2019-09-02T14:00:00-04:00,"Evacuation Zone A, persons in low lying areas living on boats, recreational vehicles and mobile homes.",,twitter.com/PutnamCountyEM/status/1168570398503514118
st johns,2019-09-01T13:46:16-04:00,29.9032284,-81.4145468,2019-09-02T08:00:00-04:00,Zones A and B,,twitter.com/StJohnsEOC/status/1168218527268032512
st lucie,2019-09-01T15:39:10-04:00,27.3900897,-80.457904,2019-09-01T14:00:00-04:00,"mobile homes, low-lying areas and on the barrier island",,twitter.com/CBS12/status/1168246942847180800
volusia,2019-09-01T14:22:48-04:00,29.0533409,-81.1310761,2019-09-02T10:00:00-04:00,"residents on the beachside, in low-lying areas, &amp; in RVs and mobile homes",,twitter.com/MyNews13/status/1168227722725863425
